Strain	Strain_2	Condition	Line	Generation	Replicate	Temperature	Highlight	Species	Rate	OD	Rate_fitness	OD_fitness	Line.1	Strain_3
SU2	2	Ancestral	SU2_Ancestral	0	2	Control	SU-2	SU	0.125	1.227	-0.003	-0.018	Ancestral	2_Ancestral
SU2	2	Ancestral	SU2_Ancestral	0	3	Control	SU-2	SU	0.133	1.267	0.005	0.022	Ancestral	2_Ancestral
SU1-1	1	Control	SU1-1_Control	250	1	Control	SU-1	SU	0.139	1.185	0.009	-0.043	1	1_Control
SU1-1	1	Control	SU1-1_Control	250	2	Control	SU-1	SU	0.136	1.15	0.006	-0.078	1	1_Control
SU1-1	1	Control	SU1-1_Control	250	3	Control	SU-1	SU	0.138	1.227	0.008	-0.001	1	1_Control
SU1-2	1	Control	SU1-2_Control	250	1	Control	SU-1	SU	0.138	1.176	0.008	-0.052	2	1_Control
SU1-2	1	Control	SU1-2_Control	250	2	Control	SU-1	SU	0.137	1.224	0.007	-0.004	2	1_Control
SU1-2	1	Control	SU1-2_Control	250	3	Control	SU-1	SU	0.135	1.151	0.005	-0.077	2	1_Control
SU1-3	1	Control	SU1-3_Control	250	1	Control	SU-1	SU	0.129	1.095	-0.001	-0.133	3	1_Control
SU1-3	1	Control	SU1-3_Control	250	2	Control	SU-1	SU	0.135	1.25	0.005	0.022	3	1_Control
SU1-3	1	Control	SU1-3_Control	250	3	Control	SU-1	SU	0.134	1.206	0.004	-0.022	3	1_Control
SU1-4	1	Control	SU1-4_Control	250	1	Control	SU-1	SU	0.132	1.18	0.002	-0.048	4	1_Control
SU1-4	1	Control	SU1-4_Control	250	2	Control	SU-1	SU	0.12	1.023	-0.01	-0.205	4	1_Control
SU1-4	1	Control	SU1-4_Control	250	3	Control	SU-1	SU	0.137	1.209	0.007	-0.019	4	1_Control
SU2-1	2	Control	SU2-1_Control	250	1	Control	SU-2	SU	0.14	1.223	0.012	-0.022	1	2_Control
SU2-1	2	Control	SU2-1_Control	250	2	Control	SU-2	SU	0.13	1.127	0.002	-0.119	1	2_Control
SU2-1	2	Control	SU2-1_Control	250	3	Control	SU-2	SU	0.133	1.256	0.005	0.011	1	2_Control
SU2-2	2	Control	SU2-2_Control	250	1	Control	SU-2	SU	0.136	1.274	0.008	0.028	2	2_Control
SU2-2	2	Control	SU2-2_Control	250	2	Control	SU-2	SU	0.133	1.285	0.005	0.039	2	2_Control
SU2-2	2	Control	SU2-2_Control	250	3	Control	SU-2	SU	0.131	1.231	0.003	-0.014	2	2_Control
SU2-3	2	Control	SU2-3_Control	250	1	Control	SU-2	SU	0.13	1.156	0.002	-0.09	3	2_Control
SU2-3	2	Control	SU2-3_Control	250	2	Control	SU-2	SU	0.128	1.176	0	-0.07	3	2_Control
SU2-3	2	Control	SU2-3_Control	250	3	Control	SU-2	SU	0.128	1.139	0	-0.106	3	2_Control
SU2-4	2	Control	SU2-4_Control	250	1	Control	SU-2	SU	0.127	1.193	-0.001	-0.053	4	2_Control
SU2-4	2	Control	SU2-4_Control	250	2	Control	SU-2	SU	0.127	1.144	-0.001	-0.102	4	2_Control
SU2-4	2	Control	SU2-4_Control	250	3	Control	SU-2	SU	0.129	1.144	0.001	-0.102	4	2_Control
SU1-1	1	Treatment	SU1-1_Treatment	250	1	Control	SU-1	SU	0.133	1.158	0.003	-0.07	1	1_Treatment
SU1-1	1	Treatment	SU1-1_Treatment	250	2	Control	SU-1	SU	0.138	1.259	0.008	0.031	1	1_Treatment
SU1-1	1	Treatment	SU1-1_Treatment	250	3	Control	SU-1	SU	0.134	1.209	0.004	-0.019	1	1_Treatment
SU1-2	1	Treatment	SU1-2_Treatment	250	1	Control	SU-1	SU	0.13	1.146	0	-0.082	2	1_Treatment
SU1-2	1	Treatment	SU1-2_Treatment	250	2	Control	SU-1	SU	0.134	1.242	0.004	0.014	2	1_Treatment
SU1-2	1	Treatment	SU1-2_Treatment	250	3	Control	SU-1	SU	0.134	1.189	0.004	-0.039	2	1_Treatment
SU1-3	1	Treatment	SU1-3_Treatment	250	1	Control	SU-1	SU	0.14	1.311	0.01	0.083	3	1_Treatment
SU1-3	1	Treatment	SU1-3_Treatment	250	2	Control	SU-1	SU	0.139	1.295	0.009	0.067	3	1_Treatment
SU1-3	1	Treatment	SU1-3_Treatment	250	3	Control	SU-1	SU	0.131	1.194	0.001	-0.034	3	1_Treatment
SU1-4	1	Treatment	SU1-4_Treatment	250	1	Control	SU-1	SU	0.12	1.035	-0.01	-0.193	4	1_Treatment
SU1-4	1	Treatment	SU1-4_Treatment	250	2	Control	SU-1	SU	0.122	1.033	-0.008	-0.195	4	1_Treatment
SU1-4	1	Treatment	SU1-4_Treatment	250	3	Control	SU-1	SU	0.127	1.124	-0.003	-0.104	4	1_Treatment
SU2-1	2	Treatment	SU2-1_Treatment	250	1	Control	SU-2	SU	0.122	1.186	-0.006	-0.06	1	2_Treatment
SU2-1	2	Treatment	SU2-1_Treatment	250	2	Control	SU-2	SU	0.116	1.127	-0.012	-0.119	1	2_Treatment
SU2-1	2	Treatment	SU2-1_Treatment	250	3	Control	SU-2	SU	0.118	1.2	-0.01	-0.046	1	2_Treatment
SU2-2	2	Treatment	SU2-2_Treatment	250	1	Control	SU-2	SU	0.129	1.162	0.001	-0.084	2	2_Treatment
SU2-2	2	Treatment	SU2-2_Treatment	250	2	Control	SU-2	SU	0.129	1.207	0.001	-0.039	2	2_Treatment
SU2-2	2	Treatment	SU2-2_Treatment	250	3	Control	SU-2	SU	0.13	1.192	0.002	-0.054	2	2_Treatment
SU2-3	2	Treatment	SU2-3_Treatment	250	1	Control	SU-2	SU	0.122	1.259	-0.006	0.013	3	2_Treatment
SU2-3	2	Treatment	SU2-3_Treatment	250	2	Control	SU-2	SU	0.118	1.211	-0.01	-0.035	3	2_Treatment
SU2-3	2	Treatment	SU2-3_Treatment	250	3	Control	SU-2	SU	0.119	1.25	-0.009	0.004	3	2_Treatment
SU2-4	2	Treatment	SU2-4_Treatment	250	1	Control	SU-2	SU	0.127	1.205	-0.001	-0.041	4	2_Treatment
SU2-4	2	Treatment	SU2-4_Treatment	250	2	Control	SU-2	SU	0.117	1.043	-0.011	-0.202	4	2_Treatment
SU2-4	2	Treatment	SU2-4_Treatment	250	3	Control	SU-2	SU	0.123	1.098	-0.005	-0.148	4	2_Treatment
SU1	1	Ancestral	SU1_Ancestral	0	1	Treatment	SU-1	SU	0.059	0.713	-0.008	-0.096	Ancestral	1_Ancestral
SU1	1	Ancestral	SU1_Ancestral	0	2	Treatment	SU-1	SU	0.072	0.88	0.005	0.071	Ancestral	1_Ancestral
SU1	1	Ancestral	SU1_Ancestral	0	3	Treatment	SU-1	SU	0.07	0.833	0.003	0.024	Ancestral	1_Ancestral
SU2	2	Ancestral	SU2_Ancestral	0	1	Treatment	SU-2	SU	0.002	0.039	0	-0.01	Ancestral	2_Ancestral
SU2	2	Ancestral	SU2_Ancestral	0	2	Treatment	SU-2	SU	0.003	0.054	0	0.005	Ancestral	2_Ancestral
SU2	2	Ancestral	SU2_Ancestral	0	3	Treatment	SU-2	SU	0.003	0.054	0	0.005	Ancestral	2_Ancestral
SU1-1	1	Control	SU1-1_Control	250	1	Treatment	SU-1	SU	0.038	0.519	-0.029	-0.29	1	1_Control
SU1-1	1	Control	SU1-1_Control	250	2	Treatment	SU-1	SU	0.051	0.742	-0.016	-0.067	1	1_Control
SU1-1	1	Control	SU1-1_Control	250	3	Treatment	SU-1	SU	0.065	0.861	-0.002	0.052	1	1_Control
SU1-2	1	Control	SU1-2_Control	250	1	Treatment	SU-1	SU	0.071	0.938	0.004	0.129	2	1_Control
SU1-2	1	Control	SU1-2_Control	250	2	Treatment	SU-1	SU	0.066	0.848	-0.001	0.039	2	1_Control
SU1-2	1	Control	SU1-2_Control	250	3	Treatment	SU-1	SU	0.064	0.802	-0.003	-0.007	2	1_Control
SU1-3	1	Control	SU1-3_Control	250	1	Treatment	SU-1	SU	0.063	0.803	-0.004	-0.006	3	1_Control
SU1-3	1	Control	SU1-3_Control	250	2	Treatment	SU-1	SU	0.072	0.941	0.005	0.132	3	1_Control
SU1-3	1	Control	SU1-3_Control	250	3	Treatment	SU-1	SU	0.065	0.825	-0.002	0.016	3	1_Control
SU1-4	1	Control	SU1-4_Control	250	1	Treatment	SU-1	SU	0.068	0.848	0.001	0.039	4	1_Control
SU1-4	1	Control	SU1-4_Control	250	2	Treatment	SU-1	SU	0.067	0.806	0	-0.003	4	1_Control
SU1-4	1	Control	SU1-4_Control	250	3	Treatment	SU-1	SU	0.072	0.878	0.005	0.069	4	1_Control
SU2-1	2	Control	SU2-1_Control	250	1	Treatment	SU-2	SU	0.002	0.025	-0.001	-0.023	1	2_Control
SU2-1	2	Control	SU2-1_Control	250	2	Treatment	SU-2	SU	0.001	0.031	-0.001	-0.018	1	2_Control
SU2-1	2	Control	SU2-1_Control	250	3	Treatment	SU-2	SU	0.002	0.035	-0.001	-0.014	1	2_Control
SU2-2	2	Control	SU2-2_Control	250	1	Treatment	SU-2	SU	0.002	0.073	-0.001	0.024	2	2_Control
SU2-2	2	Control	SU2-2_Control	250	2	Treatment	SU-2	SU	0.002	0.077	-0.001	0.028	2	2_Control
SU2-2	2	Control	SU2-2_Control	250	3	Treatment	SU-2	SU	0.002	0.1	-0.001	0.052	2	2_Control
SU2-3	2	Control	SU2-3_Control	250	1	Treatment	SU-2	SU	0.001	0.028	-0.001	-0.021	3	2_Control
SU2-3	2	Control	SU2-3_Control	250	2	Treatment	SU-2	SU	0.001	0.02	-0.002	-0.029	3	2_Control
SU2-3	2	Control	SU2-3_Control	250	3	Treatment	SU-2	SU	0.001	0.02	-0.002	-0.029	3	2_Control
SU2-4	2	Control	SU2-4_Control	250	1	Treatment	SU-2	SU	0.002	0.045	-0.001	-0.004	4	2_Control
SU2-4	2	Control	SU2-4_Control	250	2	Treatment	SU-2	SU	0.001	0.036	-0.002	-0.013	4	2_Control
SU2-4	2	Control	SU2-4_Control	250	3	Treatment	SU-2	SU	0.001	0.031	-0.002	-0.017	4	2_Control
SU1-1	1	Treatment	SU1-1_Treatment	250	1	Treatment	SU-1	SU	0.114	0.899	0.047	0.09	1	1_Treatment
SU1-1	1	Treatment	SU1-1_Treatment	250	2	Treatment	SU-1	SU	0.122	1.087	0.055	0.278	1	1_Treatment
SU1-1	1	Treatment	SU1-1_Treatment	250	3	Treatment	SU-1	SU	0.127	1.117	0.06	0.308	1	1_Treatment
SU1-2	1	Treatment	SU1-2_Treatment	250	1	Treatment	SU-1	SU	0.127	1.162	0.06	0.353	2	1_Treatment
SU1-2	1	Treatment	SU1-2_Treatment	250	2	Treatment	SU-1	SU	0.127	1.226	0.06	0.417	2	1_Treatment
SU1-2	1	Treatment	SU1-2_Treatment	250	3	Treatment	SU-1	SU	0.127	1.195	0.06	0.386	2	1_Treatment
SU1-3	1	Treatment	SU1-3_Treatment	250	1	Treatment	SU-1	SU	0.132	1.171	0.065	0.362	3	1_Treatment
SU1-3	1	Treatment	SU1-3_Treatment	250	2	Treatment	SU-1	SU	0.135	1.196	0.068	0.387	3	1_Treatment
SU1-3	1	Treatment	SU1-3_Treatment	250	3	Treatment	SU-1	SU	0.133	1.182	0.066	0.373	3	1_Treatment
SU1-4	1	Treatment	SU1-4_Treatment	250	1	Treatment	SU-1	SU	0.126	1.141	0.059	0.332	4	1_Treatment
SU1-4	1	Treatment	SU1-4_Treatment	250	2	Treatment	SU-1	SU	0.124	1.048	0.057	0.239	4	1_Treatment
SU1-4	1	Treatment	SU1-4_Treatment	250	3	Treatment	SU-1	SU	0.123	1.073	0.056	0.264	4	1_Treatment
SU2-1	2	Treatment	SU2-1_Treatment	250	1	Treatment	SU-2	SU	0.08	0.703	0.077	0.654	1	2_Treatment
SU2-1	2	Treatment	SU2-1_Treatment	250	2	Treatment	SU-2	SU	0.087	0.911	0.084	0.863	1	2_Treatment
SU2-1	2	Treatment	SU2-1_Treatment	250	3	Treatment	SU-2	SU	0.093	1.046	0.09	0.997	1	2_Treatment
SU2-2	2	Treatment	SU2-2_Treatment	250	1	Treatment	SU-2	SU	0.108	1.085	0.105	1.036	2	2_Treatment
SU2-2	2	Treatment	SU2-2_Treatment	250	2	Treatment	SU-2	SU	0.109	1.034	0.106	0.985	2	2_Treatment
SU2-2	2	Treatment	SU2-2_Treatment	250	3	Treatment	SU-2	SU	0.109	1.134	0.106	1.085	2	2_Treatment
SU2-3	2	Treatment	SU2-3_Treatment	250	1	Treatment	SU-2	SU	0.111	1.201	0.108	1.153	3	2_Treatment
SU2-3	2	Treatment	SU2-3_Treatment	250	2	Treatment	SU-2	SU	0.112	1.242	0.109	1.193	3	2_Treatment
SU2-3	2	Treatment	SU2-3_Treatment	250	3	Treatment	SU-2	SU	0.108	1.167	0.105	1.118	3	2_Treatment
SU2-4	2	Treatment	SU2-4_Treatment	250	1	Treatment	SU-2	SU	0.112	1.145	0.109	1.097	4	2_Treatment
SU2-4	2	Treatment	SU2-4_Treatment	250	2	Treatment	SU-2	SU	0.099	0.882	0.097	0.833	4	2_Treatment
SU2-4	2	Treatment	SU2-4_Treatment	250	3	Treatment	SU-2	SU	0.11	1.043	0.107	0.994	4	2_Treatment
SE1	1	Ancestral	SE1_Ancestral	0	1	Control	SE-1	SE	0.143	1.227	-0.003	-0.017	Ancestral	1_Ancestral
SE1	1	Ancestral	SE1_Ancestral	0	2	Control	SE-1	SE	0.15	1.266	0.004	0.023	Ancestral	1_Ancestral
SE1	1	Ancestral	SE1_Ancestral	0	3	Control	SE-1	SE	0.145	1.237	-0.001	-0.007	Ancestral	1_Ancestral
SE2	2	Ancestral	SE2_Ancestral	0	1	Control	SE-2	SE	0.107	1.02	-0.007	-0.06	Ancestral	2_Ancestral
SE2	2	Ancestral	SE2_Ancestral	0	2	Control	SE-2	SE	0.114	1.11	0	0.03	Ancestral	2_Ancestral
SE2	2	Ancestral	SE2_Ancestral	0	3	Control	SE-2	SE	0.121	1.11	0.007	0.03	Ancestral	2_Ancestral
SE1-1	1	Control	SE1-1_Control	350	1	Control	SE-1	SE	0.151	1.24	0.005	-0.004	1	1_Control
SE1-1	1	Control	SE1-1_Control	350	2	Control	SE-1	SE	0.14	1.12	-0.006	-0.123	1	1_Control
SE1-1	1	Control	SE1-1_Control	350	3	Control	SE-1	SE	0.143	1.123	-0.003	-0.121	1	1_Control
SE1-2	1	Control	SE1-2_Control	350	1	Control	SE-1	SE	0.143	1.149	-0.003	-0.094	2	1_Control
SE1-2	1	Control	SE1-2_Control	350	2	Control	SE-1	SE	0.144	1.185	-0.002	-0.058	2	1_Control
SE1-2	1	Control	SE1-2_Control	350	3	Control	SE-1	SE	0.137	1.09	-0.009	-0.153	2	1_Control
SE1-3	1	Control	SE1-3_Control	350	1	Control	SE-1	SE	0.142	1.165	-0.004	-0.078	3	1_Control
SE1-3	1	Control	SE1-3_Control	350	2	Control	SE-1	SE	0.146	1.256	0	0.012	3	1_Control
SE1-3	1	Control	SE1-3_Control	350	3	Control	SE-1	SE	0.142	1.195	-0.004	-0.048	3	1_Control
SE1-4	1	Control	SE1-4_Control	350	1	Control	SE-1	SE	0.142	1.199	-0.004	-0.044	4	1_Control
SE1-4	1	Control	SE1-4_Control	350	2	Control	SE-1	SE	0.144	1.209	-0.002	-0.034	4	1_Control
SE1-4	1	Control	SE1-4_Control	350	3	Control	SE-1	SE	0.146	1.204	0	-0.04	4	1_Control
SE2-1	2	Control	SE2-1_Control	250	1	Control	SE-2	SE	0.116	1.272	0.002	0.191	1	2_Control
SE2-1	2	Control	SE2-1_Control	250	2	Control	SE-2	SE	0.104	1.154	-0.01	0.074	1	2_Control
SE2-1	2	Control	SE2-1_Control	250	3	Control	SE-2	SE	0.098	1.123	-0.016	0.043	1	2_Control
SE2-2	2	Control	SE2-2_Control	250	1	Control	SE-2	SE	0.113	1.066	-0.001	-0.014	2	2_Control
SE2-2	2	Control	SE2-2_Control	250	2	Control	SE-2	SE	0.118	1.178	0.004	0.098	2	2_Control
SE2-2	2	Control	SE2-2_Control	250	3	Control	SE-2	SE	0.108	1.04	-0.006	-0.04	2	2_Control
SE2-3	2	Control	SE2-3_Control	250	1	Control	SE-2	SE	0.101	1.071	-0.013	-0.009	3	2_Control
SE2-3	2	Control	SE2-3_Control	250	2	Control	SE-2	SE	0.107	1.098	-0.007	0.018	3	2_Control
SE2-3	2	Control	SE2-3_Control	250	3	Control	SE-2	SE	0.096	1.013	-0.018	-0.068	3	2_Control
SE2-4	2	Control	SE2-4_Control	250	1	Control	SE-2	SE	0.105	1.073	-0.009	-0.007	4	2_Control
SE2-4	2	Control	SE2-4_Control	250	2	Control	SE-2	SE	0.112	1.189	-0.002	0.108	4	2_Control
SE2-4	2	Control	SE2-4_Control	250	3	Control	SE-2	SE	0.118	1.187	0.004	0.107	4	2_Control
SE1-1	1	Treatment	SE1-1_Treatment	350	1	Control	SE-1	SE	0.131	1.231	-0.015	-0.012	1	1_Treatment
SE1-1	1	Treatment	SE1-1_Treatment	350	2	Control	SE-1	SE	0.122	1.107	-0.024	-0.137	1	1_Treatment
SE1-1	1	Treatment	SE1-1_Treatment	350	3	Control	SE-1	SE	0.116	0.998	-0.03	-0.246	1	1_Treatment
SE1-2	1	Treatment	SE1-2_Treatment	350	1	Control	SE-1	SE	0.132	1.07	-0.014	-0.173	2	1_Treatment
SE1-2	1	Treatment	SE1-2_Treatment	350	2	Control	SE-1	SE	0.132	1.075	-0.014	-0.169	2	1_Treatment
SE1-2	1	Treatment	SE1-2_Treatment	350	3	Control	SE-1	SE	0.132	1.047	-0.014	-0.197	2	1_Treatment
SE1-3	1	Treatment	SE1-3_Treatment	350	1	Control	SE-1	SE	0.145	1.241	-0.001	-0.002	3	1_Treatment
SE1-3	1	Treatment	SE1-3_Treatment	350	2	Control	SE-1	SE	0.15	1.344	0.004	0.1	3	1_Treatment
SE1-3	1	Treatment	SE1-3_Treatment	350	3	Control	SE-1	SE	0.143	1.21	-0.003	-0.033	3	1_Treatment
SE1-4	1	Treatment	SE1-4_Treatment	350	1	Control	SE-1	SE	0.136	1.127	-0.01	-0.117	4	1_Treatment
SE1-4	1	Treatment	SE1-4_Treatment	350	2	Control	SE-1	SE	0.138	1.157	-0.008	-0.086	4	1_Treatment
SE1-4	1	Treatment	SE1-4_Treatment	350	3	Control	SE-1	SE	0.14	1.171	-0.006	-0.072	4	1_Treatment
SE2-1	2	Treatment	SE2-1_Treatment	250	1	Control	SE-2	SE	0.116	1.233	0.002	0.153	1	2_Treatment
SE2-1	2	Treatment	SE2-1_Treatment	250	2	Control	SE-2	SE	0.112	1.021	-0.002	-0.059	1	2_Treatment
SE2-1	2	Treatment	SE2-1_Treatment	250	3	Control	SE-2	SE	0.114	1.171	0	0.09	1	2_Treatment
SE2-2	2	Treatment	SE2-2_Treatment	250	1	Control	SE-2	SE	0.116	1.087	0.002	0.006	2	2_Treatment
SE2-2	2	Treatment	SE2-2_Treatment	250	2	Control	SE-2	SE	0.12	1.223	0.006	0.143	2	2_Treatment
SE2-2	2	Treatment	SE2-2_Treatment	250	3	Control	SE-2	SE	0.125	1.063	0.011	-0.018	2	2_Treatment
SE2-3	2	Treatment	SE2-3_Treatment	250	1	Control	SE-2	SE	0.116	1.227	0.002	0.146	3	2_Treatment
SE2-3	2	Treatment	SE2-3_Treatment	250	2	Control	SE-2	SE	0.123	1.31	0.009	0.229	3	2_Treatment
SE2-3	2	Treatment	SE2-3_Treatment	250	3	Control	SE-2	SE	0.12	1.216	0.006	0.136	3	2_Treatment
SE2-4	2	Treatment	SE2-4_Treatment	250	1	Control	SE-2	SE	0.11	1.026	-0.004	-0.054	4	2_Treatment
SE2-4	2	Treatment	SE2-4_Treatment	250	2	Control	SE-2	SE	0.113	1.162	-0.001	0.082	4	2_Treatment
SE2-4	2	Treatment	SE2-4_Treatment	250	3	Control	SE-2	SE	0.121	1.152	0.007	0.072	4	2_Treatment
SE1	1	Ancestral	SE1_Ancestral	0	1	Treatment	SE-1	SE	0.058	0.743	-0.001	-0.009	Ancestral	1_Ancestral
SE1	1	Ancestral	SE1_Ancestral	0	2	Treatment	SE-1	SE	0.058	0.804	-0.001	0.051	Ancestral	1_Ancestral
SE1	1	Ancestral	SE1_Ancestral	0	3	Treatment	SE-1	SE	0.062	0.71	0.003	-0.043	Ancestral	1_Ancestral
SE2	2	Ancestral	SE2_Ancestral	0	1	Treatment	SE-2	SE	0.019	0.4	-0.006	-0.145	Ancestral	2_Ancestral
SE2	2	Ancestral	SE2_Ancestral	0	2	Treatment	SE-2	SE	0.028	0.632	0.003	0.087	Ancestral	2_Ancestral
