Strain	Condition	Individual	Replicate	Highlight.1	Rate	OD	Temperature	Specie	Strain2	Line
SP2-1	Control	I3	1	SP2-1_Control_I3	0.0954	1.240	16	SP	SP2	1
SP2-1	Control	I3	2	SP2-1_Control_I3	0.0881	0.434	16	SP	SP2	1
SP2-1	Control	I3	3	SP2-1_Control_I3	0.0808	0.637	16	SP	SP2	1
SP2-2	Control	I3	1	SP2-2_Control_I3	0.118	1.094	16	SP	SP2	2
SP2-2	Control	I3	2	SP2-2_Control_I3	0.113	1.044	16	SP	SP2	2
SP2-2	Control	I3	3	SP2-2_Control_I3	0.112	1.249	16	SP	SP2	2
SP2-3	Control	I3	1	SP2-3_Control_I3	0.104	1.114	16	SP	SP2	3
SP2-3	Control	I3	2	SP2-3_Control_I3	0.11	1.126	16	SP	SP2	3
SP2-3	Control	I3	3	SP2-3_Control_I3	0.0937	0.824	16	SP	SP2	3
SP2-4	Control	I3	1	SP2-4_Control_I3	0.117	1.195	16	SP	SP2	4
SP2-4	Control	I3	2	SP2-4_Control_I3	0.11	1.262	16	SP	SP2	4
SP2-4	Control	I3	3	SP2-4_Control_I3	0.114	0.862	16	SP	SP2	4
SP2-3	Treatment	I1	1	SP2-3_Treatment_I1	0.119	1.138	16	SP	SP2	1
SP2-3	Treatment	I1	2	SP2-3_Treatment_I1	0.10715	0.431	16	SP	SP2	1
SP2-3	Treatment	I1	3	SP2-3_Treatment_I1	0.0953	1.118	16	SP	SP2	1
SP2-2	Treatment	I1	1	SP2-2_Treatment_I1	0.0978	1.104	16	SP	SP2	2
SP2-2	Treatment	I1	2	SP2-2_Treatment_I1	0.0938	0.978	16	SP	SP2	2
SP2-2	Treatment	I1	3	SP2-2_Treatment_I1	0.0976	1.084	16	SP	SP2	2
SP2-1	Treatment	I1	1	SP2-1_Treatment_I1	0.0971	1.087	16	SP	SP2	3
SP2-1	Treatment	I1	2	SP2-1_Treatment_I1	0.0959	1.047	16	SP	SP2	3
SP2-1	Treatment	I1	3	SP2-1_Treatment_I1	0.0916	0.994	16	SP	SP2	3
SP2-4	Treatment	I1	1	SP2-4_Treatment_I1	0.0961	0.973	16	SP	SP2	4
SP2-4	Treatment	I1	2	SP2-4_Treatment_I1	0.0983	1.081	16	SP	SP2	4
SP2-4	Treatment	I1	3	SP2-4_Treatment_I1	0.0972	1.015	16	SP	SP2	4
SP2-3	Treatment	I2	1	SP2-3_Treatment_I2	0.102	1.253	16	SP	SP2	1
SP2-3	Treatment	I2	2	SP2-3_Treatment_I2	0.097	0.440	16	SP	SP2	1
SP2-3	Treatment	I2	3	SP2-3_Treatment_I2	0.092	0.960	16	SP	SP2	1
SP2-2	Treatment	I2	1	SP2-2_Treatment_I2	0.105	1.027	16	SP	SP2	2
SP2-2	Treatment	I2	2	SP2-2_Treatment_I2	0.101	1.146	16	SP	SP2	2
SP2-2	Treatment	I2	3	SP2-2_Treatment_I2	0.0999	1.006	16	SP	SP2	2
SP2-1	Treatment	I2	1	SP2-1_Treatment_I2	0.0613	0.517	16	SP	SP2	3
SP2-1	Treatment	I2	2	SP2-1_Treatment_I2	0.0925	1.070	16	SP	SP2	3
SP2-1	Treatment	I2	3	SP2-1_Treatment_I2	0.072	0.761	16	SP	SP2	3
SP2-4	Treatment	I2	1	SP2-4_Treatment_I2	0.083	0.874	16	SP	SP2	4
SP2-4	Treatment	I2	2	SP2-4_Treatment_I2	0.0514	0.478	16	SP	SP2	4
SP2-4	Treatment	I2	3	SP2-4_Treatment_I2	0.0672	1.096	16	SP	SP2	4
SP2-3	Treatment	I3	1	SP2-3_Treatment_I3	0.126	1.143	16	SP	SP2	1
SP2-3	Treatment	I3	2	SP2-3_Treatment_I3	0.10745	0.779	16	SP	SP2	1
SP2-3	Treatment	I3	3	SP2-3_Treatment_I3	0.0889	0.776	16	SP	SP2	1
SP2-2	Treatment	I3	1	SP2-2_Treatment_I3	0.0724	0.593	16	SP	SP2	2
SP2-2	Treatment	I3	2	SP2-2_Treatment_I3	0.0976	1.047	16	SP	SP2	2
SP2-2	Treatment	I3	3	SP2-2_Treatment_I3	0.0744	0.809	16	SP	SP2	2
SP2-1	Treatment	I3	1	SP2-1_Treatment_I3	0.0941	1.293	16	SP	SP2	3
SP2-1	Treatment	I3	2	SP2-1_Treatment_I3	0.0952	1.090	16	SP	SP2	3
SP2-1	Treatment	I3	3	SP2-1_Treatment_I3	0.0864	1.064	16	SP	SP2	3
SP2-4	Treatment	I3	1	SP2-4_Treatment_I3	0.0934	1.062	16	SP	SP2	4
SP2-4	Treatment	I3	2	SP2-4_Treatment_I3	0.0972	0.999	16	SP	SP2	4
SP2-4	Treatment	I3	3	SP2-4_Treatment_I3	0.0953	0.916	16	SP	SP2	4
SP2	Ancestral	Ancestral	1	SP2_Ancestral	0.179	1.124	16	SP	SP2	Ancestral
SP2	Ancestral	Ancestral	2	SP2_Ancestral	0.181	1.198	16	SP	SP2	Ancestral
SP2	Ancestral	Ancestral	3	SP2_Ancestral	0.188	1.070	16	SP	SP2	Ancestral
SP2-1	Control	I1	1	SP2-1_Control_I1	0.463	1.135	31	SP	SP2	1
SP2-1	Control	I1	2	SP2-1_Control_I1	0.477	0.938	31	SP	SP2	1
SP2-1	Control	I1	3	SP2-1_Control_I1	0.536	1.036	31	SP	SP2	1
SP2-2	Control	I1	1	SP2-2_Control_I1	0.517	0.861	31	SP	SP2	2
SP2-2	Control	I1	2	SP2-2_Control_I1	0.475	1.004	31	SP	SP2	2
SP2-2	Control	I1	3	SP2-2_Control_I1	0.485	0.974	31	SP	SP2	2
SP2-3	Control	I1	1	SP2-3_Control_I1	0.442	0.986	31	SP	SP2	3
SP2-3	Control	I1	2	SP2-3_Control_I1	0.462	1.059	31	SP	SP2	3
SP2-3	Control	I1	3	SP2-3_Control_I1	0.454	1.032	31	SP	SP2	3
SP2-4	Control	I1	1	SP2-4_Control_I1	0.409	0.545	31	SP	SP2	4
SP2-4	Control	I1	2	SP2-4_Control_I1	0.437	0.861	31	SP	SP2	4
SP2-4	Control	I1	3	SP2-4_Control_I1	0.459	0.945	31	SP	SP2	4
SP2-1	Control	I2	1	SP2-1_Control_I2	0.482	0.964	31	SP	SP2	1
SP2-1	Control	I2	2	SP2-1_Control_I2	0.454	0.975	31	SP	SP2	1
SP2-1	Control	I2	3	SP2-1_Control_I2	0.488	1.022	31	SP	SP2	1
SP2-2	Control	I2	1	SP2-2_Control_I2	0.532	1.068	31	SP	SP2	2
SP2-2	Control	I2	2	SP2-2_Control_I2	0.503	1.105	31	SP	SP2	2
SP2-2	Control	I2	3	SP2-2_Control_I2	0.488	0.844	31	SP	SP2	2
SP2-3	Control	I2	1	SP2-3_Control_I2	0.477	1.080	31	SP	SP2	3
SP2-3	Control	I2	2	SP2-3_Control_I2	0.45	0.967	31	SP	SP2	3
SP2-3	Control	I2	3	SP2-3_Control_I2	0.472	1.013	31	SP	SP2	3
SP2-4	Control	I2	1	SP2-4_Control_I2	0.511	0.928	31	SP	SP2	4
SP2-4	Control	I2	2	SP2-4_Control_I2	0.459	0.827	31	SP	SP2	4
SP2-4	Control	I2	3	SP2-4_Control_I2	0.495	1.121	31	SP	SP2	4
SP2-1	Control	I3	1	SP2-1_Control_I3	0.438	0.559	31	SP	SP2	1
SP2-1	Control	I3	2	SP2-1_Control_I3	0.483	0.934	31	SP	SP2	1
SP2-1	Control	I3	3	SP2-1_Control_I3	0.506	0.947	31	SP	SP2	1
SP2-2	Control	I3	1	SP2-2_Control_I3	0.492	1.046	31	SP	SP2	2
SP2-2	Control	I3	2	SP2-2_Control_I3	0.469	1.162	31	SP	SP2	2
SP2-2	Control	I3	3	SP2-2_Control_I3	0.48	1.010	31	SP	SP2	2
SP2-3	Control	I3	1	SP2-3_Control_I3	0.427	1.045	31	SP	SP2	3
SP2-3	Control	I3	2	SP2-3_Control_I3	0.421	0.982	31	SP	SP2	3
SP2-3	Control	I3	3	SP2-3_Control_I3	0.425	0.926	31	SP	SP2	3
SP2-4	Control	I3	1	SP2-4_Control_I3	0.528	0.971	31	SP	SP2	4
SP2-4	Control	I3	2	SP2-4_Control_I3	0.465	0.769	31	SP	SP2	4
SP2-4	Control	I3	3	SP2-4_Control_I3	0.482	1.020	31	SP	SP2	4
SP2-3	Treatment	I1	1	SP2-3_Treatment_I1	0.405	0.822	31	SP	SP2	1
SP2-3	Treatment	I1	2	SP2-3_Treatment_I1	0.438	1.048	31	SP	SP2	1
SP2-3	Treatment	I1	3	SP2-3_Treatment_I1	0.467	1.103	31	SP	SP2	1
SP2-2	Treatment	I1	1	SP2-2_Treatment_I1	0.43	1.014	31	SP	SP2	2
SP2-2	Treatment	I1	2	SP2-2_Treatment_I1	0.434	1.054	31	SP	SP2	2
SP2-2	Treatment	I1	3	SP2-2_Treatment_I1	0.405	0.925	31	SP	SP2	2
SP2-1	Treatment	I1	1	SP2-1_Treatment_I1	0.416	1.045	31	SP	SP2	3
SP2-1	Treatment	I1	2	SP2-1_Treatment_I1	0.43	1.013	31	SP	SP2	3
SP2-1	Treatment	I1	3	SP2-1_Treatment_I1	0.407	1.017	31	SP	SP2	3
SP2-4	Treatment	I1	1	SP2-4_Treatment_I1	0.405	1.007	31	SP	SP2	4
SP2-4	Treatment	I1	2	SP2-4_Treatment_I1	0.411	0.980	31	SP	SP2	4
SP2-4	Treatment	I1	3	SP2-4_Treatment_I1	0.407	1.208	31	SP	SP2	4
SP2-3	Treatment	I2	1	SP2-3_Treatment_I2	0.432	1.075	31	SP	SP2	1
SP2-3	Treatment	I2	2	SP2-3_Treatment_I2	0.392	0.885	31	SP	SP2	1
SP2-3	Treatment	I2	3	SP2-3_Treatment_I2	0.452	0.999	31	SP	SP2	1
SP2-2	Treatment	I2	1	SP2-2_Treatment_I2	0.416	0.893	31	SP	SP2	2
SP2-2	Treatment	I2	2	SP2-2_Treatment_I2	0.426	1.012	31	SP	SP2	2
SP2-2	Treatment	I2	3	SP2-2_Treatment_I2	0.382	0.801	31	SP	SP2	2
SP2-1	Treatment	I2	1	SP2-1_Treatment_I2	0.441	0.890	31	SP	SP2	3
SP2-1	Treatment	I2	2	SP2-1_Treatment_I2	0.434	0.926	31	SP	SP2	3
SP2-1	Treatment	I2	3	SP2-1_Treatment_I2	0.434	1.051	31	SP	SP2	3
SP2-4	Treatment	I2	1	SP2-4_Treatment_I2	0.476	0.901	31	SP	SP2	4
SP2-4	Treatment	I2	2	SP2-4_Treatment_I2	0.443	1.009	31	SP	SP2	4
SP2-4	Treatment	I2	3	SP2-4_Treatment_I2	0.443	1.010	31	SP	SP2	4
SP2-3	Treatment	I3	1	SP2-3_Treatment_I3	0.442	1.027	31	SP	SP2	1
SP2-3	Treatment	I3	2	SP2-3_Treatment_I3	0.432	1.033	31	SP	SP2	1
SP2-3	Treatment	I3	3	SP2-3_Treatment_I3	0.391	0.876	31	SP	SP2	1
SP2-2	Treatment	I3	1	SP2-2_Treatment_I3	0.394	0.829	31	SP	SP2	2
SP2-2	Treatment	I3	2	SP2-2_Treatment_I3	0.417	0.895	31	SP	SP2	2
SP2-2	Treatment	I3	3	SP2-2_Treatment_I3	0.451	0.719	31	SP	SP2	2
SP2-1	Treatment	I3	1	SP2-1_Treatment_I3	0.441	1.046	31	SP	SP2	3
SP2-1	Treatment	I3	2	SP2-1_Treatment_I3	0.454	1.083	31	SP	SP2	3
SP2-1	Treatment	I3	3	SP2-1_Treatment_I3	0.414	1.005	31	SP	SP2	3
SP2-4	Treatment	I3	1	SP2-4_Treatment_I3	0.443	0.713	31	SP	SP2	4
SP2-4	Treatment	I3	2	SP2-4_Treatment_I3	0.412	0.901	31	SP	SP2	4
SP2-4	Treatment	I3	3	SP2-4_Treatment_I3	0.474	0.872	31	SP	SP2	4
SP2	Ancestral	Ancestral	1	SP2_Ancestral	0.4	1.087	31	SP	SP2	Ancestral
SP2	Ancestral	Ancestral	2	SP2_Ancestral	0.37	1.064	31	SP	SP2	Ancestral
SP2	Ancestral	Ancestral	3	SP2_Ancestral	0.413	1.204	31	SP	SP2	Ancestral
SP2-1	Control	I1	1	SP2-1_Control_I1	0.484	0.892	34	SP	SP2	1
SP2-1	Control	I1	2	SP2-1_Control_I1	0.486	0.877	34	SP	SP2	1
SP2-1	Control	I1	3	SP2-1_Control_I1	0.496	0.851	34	SP	SP2	1
SP2-2	Control	I1	1	SP2-2_Control_I1	0.452	0.854	34	SP	SP2	2
SP2-2	Control	I1	2	SP2-2_Control_I1	0.435	0.849	34	SP	SP2	2
SP2-2	Control	I1	3	SP2-2_Control_I1	0.471	1.010	34	SP	SP2	2
SP2-3	Control	I1	1	SP2-3_Control_I1	0.479	0.920	34	SP	SP2	3
SP2-3	Control	I1	2	SP2-3_Control_I1	0.481	0.985	34	SP	SP2	3
SP2-3	Control	I1	3	SP2-3_Control_I1	0.472	1.131	34	SP	SP2	3
SP2-4	Control	I1	1	SP2-4_Control_I1	0.434	1.027	34	SP	SP2	4
SP2-4	Control	I1	2	SP2-4_Control_I1	0.408	0.873	34	SP	SP2	4
SP2-4	Control	I1	3	SP2-4_Control_I1	0.386	0.922	34	SP	SP2	4
SP2-1	Control	I2	1	SP2-1_Control_I2	0.491	0.977	34	SP	SP2	1
SP2-1	Control	I2	2	SP2-1_Control_I2	0.471	0.979	34	SP	SP2	1
SP2-1	Control	I2	3	SP2-1_Control_I2	0.524	0.941	34	SP	SP2	1
SP2-2	Control	I2	1	SP2-2_Control_I2	0.464	0.830	34	SP	SP2	2
SP2-2	Control	I2	2	SP2-2_Control_I2	0.465	0.914	34	SP	SP2	2
SP2-2	Control	I2	3	SP2-2_Control_I2	0.482	0.861	34	SP	SP2	2
SP2-3	Control	I2	1	SP2-3_Control_I2	0.493	1.005	34	SP	SP2	3
SP2-3	Control	I2	2	SP2-3_Control_I2	0.474	1.022	34	SP	SP2	3
SP2-3	Control	I2	3	SP2-3_Control_I2	0.424	1.085	34	SP	SP2	3
SP2-4	Control	I2	1	SP2-4_Control_I2	0.434	0.946	34	SP	SP2	4
SP2-4	Control	I2	2	SP2-4_Control_I2	0.421	0.964	34	SP	SP2	4
SP2-4	Control	I2	3	SP2-4_Control_I2	0.449	1.031	34	SP	SP2	4
SP2-1	Control	I3	1	SP2-1_Control_I3	0.447	0.843	34	SP	SP2	1
SP2-1	Control	I3	2	SP2-1_Control_I3	0.468	0.970	34	SP	SP2	1
SP2-1	Control	I3	3	SP2-1_Control_I3	0.495	0.994	34	SP	SP2	1
SP2-2	Control	I3	1	SP2-2_Control_I3	0.467	0.912	34	SP	SP2	2
SP2-2	Control	I3	2	SP2-2_Control_I3	0.462	0.957	34	SP	SP2	2
SP2-2	Control	I3	3	SP2-2_Control_I3	0.482	0.956	34	SP	SP2	2
SP2-3	Control	I3	1	SP2-3_Control_I3	0.472	0.909	34	SP	SP2	3
SP2-3	Control	I3	2	SP2-3_Control_I3	0.507	0.978	34	SP	SP2	3
SP2-3	Control	I3	3	SP2-3_Control_I3	0.459	1.163	34	SP	SP2	3
SP2-4	Control	I3	1	SP2-4_Control_I3	0.446	0.983	34	SP	SP2	4
SP2-4	Control	I3	2	SP2-4_Control_I3	0.432	0.781	34	SP	SP2	4
SP2-4	Control	I3	3	SP2-4_Control_I3	0.454	0.984	34	SP	SP2	4
SP2-3	Treatment	I1	1	SP2-3_Treatment_I1	0.412	0.922	34	SP	SP2	1
SP2-3	Treatment	I1	2	SP2-3_Treatment_I1	0.444	1.128	34	SP	SP2	1
SP2-3	Treatment	I1	3	SP2-3_Treatment_I1	0.451	0.861	34	SP	SP2	1
SP2-2	Treatment	I1	1	SP2-2_Treatment_I1	0.411	0.975	34	SP	SP2	2
SP2-2	Treatment	I1	2	SP2-2_Treatment_I1	0.397	0.871	34	SP	SP2	2
SP2-2	Treatment	I1	3	SP2-2_Treatment_I1	0.456	1.095	34	SP	SP2	2
SP2-1	Treatment	I1	1	SP2-1_Treatment_I1	0.43	1.223	34	SP	SP2	3
SP2-1	Treatment	I1	2	SP2-1_Treatment_I1	0.422	0.870	34	SP	SP2	3
SP2-1	Treatment	I1	3	SP2-1_Treatment_I1	0.443	0.994	34	SP	SP2	3
SP2-4	Treatment	I1	1	SP2-4_Treatment_I1	0.443	1.059	34	SP	SP2	4
SP2-4	Treatment	I1	2	SP2-4_Treatment_I1	0.41	1.005	34	SP	SP2	4
SP2-4	Treatment	I1	3	SP2-4_Treatment_I1	0.469	1.128	34	SP	SP2	4
SP2-3	Treatment	I2	1	SP2-3_Treatment_I2	0.483	1.105	34	SP	SP2	1
SP2-3	Treatment	I2	2	SP2-3_Treatment_I2	0.441	1.051	34	SP	SP2	1
SP2-3	Treatment	I2	3	SP2-3_Treatment_I2	0.466	0.811	34	SP	SP2	1
SP2-2	Treatment	I2	1	SP2-2_Treatment_I2	0.447	1.013	34	SP	SP2	2
SP2-2	Treatment	I2	2	SP2-2_Treatment_I2	0.432	0.964	34	SP	SP2	2
SP2-2	Treatment	I2	3	SP2-2_Treatment_I2	0.443	0.965	34	SP	SP2	2
SP2-1	Treatment	I2	1	SP2-1_Treatment_I2	0.407	0.934	34	SP	SP2	3
SP2-1	Treatment	I2	2	SP2-1_Treatment_I2	0.405	0.838	34	SP	SP2	3
SP2-1	Treatment	I2	3	SP2-1_Treatment_I2	0.394	1.114	34	SP	SP2	3
SP2-4	Treatment	I2	1	SP2-4_Treatment_I2	0.474	0.946	34	SP	SP2	4
SP2-4	Treatment	I2	2	SP2-4_Treatment_I2	0.424	0.927	34	SP	SP2	4
SP2-4	Treatment	I2	3	SP2-4_Treatment_I2	0.503	1.066	34	SP	SP2	4
SP2-3	Treatment	I3	1	SP2-3_Treatment_I3	0.403	1.200	34	SP	SP2	1
SP2-3	Treatment	I3	2	SP2-3_Treatment_I3	0.396	0.972	34	SP	SP2	1
SP2-3	Treatment	I3	3	SP2-3_Treatment_I3	0.41	1.004	34	SP	SP2	1
SP2-2	Treatment	I3	1	SP2-2_Treatment_I3	0.461	1.060	34	SP	SP2	2
SP2-2	Treatment	I3	2	SP2-2_Treatment_I3	0.462	1.097	34	SP	SP2	2
SP2-2	Treatment	I3	3	SP2-2_Treatment_I3	0.482	1.160	34	SP	SP2	2
SP2-1	Treatment	I3	1	SP2-1_Treatment_I3	0.45	1.059	34	SP	SP2	3
SP2-1	Treatment	I3	2	SP2-1_Treatment_I3	0.414	0.834	34	SP	SP2	3
SP2-1	Treatment	I3	3	SP2-1_Treatment_I3	0.401	0.938	34	SP	SP2	3
SP2-4	Treatment	I3	1	SP2-4_Treatment_I3	0.42	0.714	34	SP	SP2	4
SP2-4	Treatment	I3	2	SP2-4_Treatment_I3	0.389	0.868	34	SP	SP2	4
SP2-4	Treatment	I3	3	SP2-4_Treatment_I3	0.422	1.206	34	SP	SP2	4
SP2	Ancestral	Ancestral	1	SP2_Ancestral	0.412	0.854	34	SP	SP2	Ancestral
SP2	Ancestral	Ancestral	2	SP2_Ancestral	0.421	0.898	34	SP	SP2	Ancestral
SP2	Ancestral	Ancestral	3	SP2_Ancestral	0.403	1.003	34	SP	SP2	Ancestral
SP2-1	Control	I1	1	SP2-1_Control_I1	0	0.010	37	SP	SP2	1
SP2-1	Control	I1	2	SP2-1_Control_I1	0	0.019	37	SP	SP2	1
SP2-1	Control	I1	3	SP2-1_Control_I1	0	0.011	37	SP	SP2	1
SP2-2	Control	I1	1	SP2-2_Control_I1	0	0.011	37	SP	SP2	2
SP2-2	Control	I1	2	SP2-2_Control_I1	0	0.018	37	SP	SP2	2
SP2-2	Control	I1	3	SP2-2_Control_I1	0	0.009	37	SP	SP2	2
SP2-3	Control	I1	1	SP2-3_Control_I1	0	0.021	37	SP	SP2	3
SP2-3	Control	I1	2	SP2-3_Control_I1	0	0.013	37	SP	SP2	3
SP2-3	Control	I1	3	SP2-3_Control_I1	0	0.018	37	SP	SP2	3
SP2-4	Control	I1	1	SP2-4_Control_I1	0	0.011	37	SP	SP2	4
SP2-4	Control	I1	2	SP2-4_Control_I1	0	0.013	37	SP	SP2	4
SP2-4	Control	I1	3	SP2-4_Control_I1	0	0.011	37	SP	SP2	4
SP2-1	Control	I2	1	SP2-1_Control_I2	0	0.026	37	SP	SP2	1
SP2-1	Control	I2	2	SP2-1_Control_I2	0	0.030	37	SP	SP2	1
SP2-1	Control	I2	3	SP2-1_Control_I2	0	0.022	37	SP	SP2	1
SP2-2	Control	I2	1	SP2-2_Control_I2	0	0.013	37	SP	SP2	2
SP2-2	Control	I2	2	SP2-2_Control_I2	0	0.015	37	SP	SP2	2
SP2-2	Control	I2	3	SP2-2_Control_I2	0	0.013	37	SP	SP2	2
SP2-3	Control	I2	1	SP2-3_Control_I2	0	0.015	37	SP	SP2	3
SP2-3	Control	I2	2	SP2-3_Control_I2	0	0.013	37	SP	SP2	3
SP2-3	Control	I2	3	SP2-3_Control_I2	0	0.015	37	SP	SP2	3
SP2-4	Control	I2	1	SP2-4_Control_I2	0	0.010	37	SP	SP2	4
SP2-4	Control	I2	2	SP2-4_Control_I2	0	0.014	37	SP	SP2	4
SP2-4	Control	I2	3	SP2-4_Control_I2	0	0.013	37	SP	SP2	4
SP2-1	Control	I3	1	SP2-1_Control_I3	0	0.002	37	SP	SP2	1
SP2-1	Control	I3	2	SP2-1_Control_I3	0	0.015	37	SP	SP2	1
SP2-1	Control	I3	3	SP2-1_Control_I3	0	0.006	37	SP	SP2	1
SP2-2	Control	I3	1	SP2-2_Control_I3	0	0.006	37	SP	SP2	2
SP2-2	Control	I3	2	SP2-2_Control_I3	0	0.012	37	SP	SP2	2
SP2-2	Control	I3	3	SP2-2_Control_I3	0	0.010	37	SP	SP2	2
SP2-3	Control	I3	1	SP2-3_Control_I3	0	0.020	37	SP	SP2	3
SP2-3	Control	I3	2	SP2-3_Control_I3	0	0.014	37	SP	SP2	3
SP2-3	Control	I3	3	SP2-3_Control_I3	0	0.015	37	SP	SP2	3
SP2-4	Control	I3	1	SP2-4_Control_I3	0	0.004	37	SP	SP2	4
SP2-4	Control	I3	2	SP2-4_Control_I3	0	0.010	37	SP	SP2	4
SP2-4	Control	I3	3	SP2-4_Control_I3	0	0.006	37	SP	SP2	4
SP2-3	Treatment	I1	1	SP2-3_Treatment_I1	0.2	0.696	37	SP	SP2	1
SP2-3	Treatment	I1	2	SP2-3_Treatment_I1	0.188	1.103	37	SP	SP2	1
SP2-3	Treatment	I1	3	SP2-3_Treatment_I1	0.197	0.938	37	SP	SP2	1
SP2-2	Treatment	I1	1	SP2-2_Treatment_I1	0.209	0.806	37	SP	SP2	2
SP2-2	Treatment	I1	2	SP2-2_Treatment_I1	0.208	0.885	37	SP	SP2	2
SP2-2	Treatment	I1	3	SP2-2_Treatment_I1	0.221	0.901	37	SP	SP2	2
SP2-1	Treatment	I1	1	SP2-1_Treatment_I1	0.181	0.722	37	SP	SP2	3
SP2-1	Treatment	I1	2	SP2-1_Treatment_I1	0.191	1.207	37	SP	SP2	3
SP2-1	Treatment	I1	3	SP2-1_Treatment_I1	0.179	0.822	37	SP	SP2	3
SP2-4	Treatment	I1	1	SP2-4_Treatment_I1	0.135	0.542	37	SP	SP2	4
SP2-4	Treatment	I1	2	SP2-4_Treatment_I1	0.124	0.672	37	SP	SP2	4
SP2-4	Treatment	I1	3	SP2-4_Treatment_I1	0.168	0.974	37	SP	SP2	4
SP2-3	Treatment	I2	1	SP2-3_Treatment_I2	0.117	0.627	37	SP	SP2	1
SP2-3	Treatment	I2	2	SP2-3_Treatment_I2	0.105	0.887	37	SP	SP2	1
SP2-3	Treatment	I2	3	SP2-3_Treatment_I2	0.12	0.880	37	SP	SP2	1
SP2-2	Treatment	I2	1	SP2-2_Treatment_I2	0.127	0.945	37	SP	SP2	2
SP2-2	Treatment	I2	2	SP2-2_Treatment_I2	0.127	0.994	37	SP	SP2	2
SP2-2	Treatment	I2	3	SP2-2_Treatment_I2	0.137	0.854	37	SP	SP2	2
SP2-1	Treatment	I2	1	SP2-1_Treatment_I2	0.164	1.174	37	SP	SP2	3
SP2-1	Treatment	I2	2	SP2-1_Treatment_I2	0.16	1.020	37	SP	SP2	3
SP2-1	Treatment	I2	3	SP2-1_Treatment_I2	0.154	0.644	37	SP	SP2	3
SP2-4	Treatment	I2	1	SP2-4_Treatment_I2	0.17	0.741	37	SP	SP2	4
SP2-4	Treatment	I2	2	SP2-4_Treatment_I2	0.156	1.051	37	SP	SP2	4
SP2-4	Treatment	I2	3	SP2-4_Treatment_I2	0.176	1.024	37	SP	SP2	4
SP2-3	Treatment	I3	1	SP2-3_Treatment_I3	0.221	0.924	37	SP	SP2	1
SP2-3	Treatment	I3	2	SP2-3_Treatment_I3	0.218	1.282	37	SP	SP2	1
SP2-3	Treatment	I3	3	SP2-3_Treatment_I3	0.24	1.178	37	SP	SP2	1
SP2-2	Treatment	I3	1	SP2-2_Treatment_I3	0.203	1.133	37	SP	SP2	2
SP2-2	Treatment	I3	2	SP2-2_Treatment_I3	0.203	1.115	37	SP	SP2	2
SP2-2	Treatment	I3	3	SP2-2_Treatment_I3	0.212	1.102	37	SP	SP2	2
SP2-1	Treatment	I3	1	SP2-1_Treatment_I3	0.168	1.066	37	SP	SP2	3
SP2-1	Treatment	I3	2	SP2-1_Treatment_I3	0.189	1.185	37	SP	SP2	3
SP2-1	Treatment	I3	3	SP2-1_Treatment_I3	0.185	1.007	37	SP	SP2	3
SP2-4	Treatment	I3	1	SP2-4_Treatment_I3	0.157	0.825	37	SP	SP2	4
